Config Code, Config Name, Config Desc, Display Order, Parent
USER_STATUS,User Status,User Status,1,
ACTIVE,Active,Active,1,USER_STATUS
INVITED,Invited,Invited,2,USER_STATUS
INACTIVE,Inactive,Inactive,3,USER_STATUS
NEW,New,New,4,USER_STATUS
